hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate,Date
15-16,572,1729,274,1514,2987,3382,4871,5581,3130,5240,3878,5583,221,1279,2919,4760,37943,6812,180,1054,0,0,20250201060027
16-17,220,1231,264,1569,1659,2555,1462,3982,1516,3623,2235,5749,329,2203,2018,4767,122520,8503,441,1550,0,0,20250201060027
17-18,299,1976,78,1083,601,2709,4709,5035,530,4691,620,6186,44,1482,613,3313,20421,5430,135,1099,0,0,20250201060027
18-19,632,2727,163,1900,1405,3477,2783,4904,1303,5160,1578,5937,105,2256,958,4283,22190,5258,123,783,0,0,20250201060027
19-20,1030,2671,126,823,2419,2961,4278,5293,3049,6079,2255,4933,309,1654,2573,4636,120788,8871,528,1541,0,0,20250201060027
20-21,460,3433,14,777,656,2585,3041,5083,1119,4983,688,3663,65,1554,501,4548,8626,4891,39,721,0,0,20250201060027
21-22,3,272,63,891,1484,2879,539,4481,1763,5017,2086,4808,72,1270,922,3832,740,3366,18,466,0,0,20250201060027
22-23,10,1000,0,0,0,0,61,1619,51,2833,178,6276,21,2100,216,6750,0,0,363,3696,0,0,20250201060027
23-24,6,333,66,1425,146,3650,0,0,134,7444,292,6156,31,1833,120,3195,506,2368,6,302,0,0,20250201060027
0-1,3,333,35,1260,0,0,219,3503,0,0,0,0,16,2000,42,3500,196,3320,3,375,0,0,20250202060257
1-2,8,377,61,718,239,2455,47,2350,230,2900,802,3863,52,874,257,3161,1053,3480,9,353,0,0,20250202060257
2-3,9,327,108,1248,323,2394,35,1376,219,3064,684,4394,64,1368,237,3108,2630,2782,21,385,0,0,20250202060257
3-4,17,823,48,567,136,2199,140,3424,69,1796,367,2432,72,1368,336,3695,13692,3770,39,722,0,0,20250202060257
4-5,6,300,62,1766,54,1882,440,3332,30,1666,66,3025,30,1236,70,2685,7786,2451,39,662,0,0,20250202060257
5-6,3,272,35,1541,54,2842,23335,12512,43,4777,190,7037,16,1777,42,2000,43,1509,3,61,0,0,20250202060257
6-7,13,438,16,1454,0,0,104,3776,0,0,0,0,0,0,0,0,0,0,290,3073,0,0,20250202060257
7-8,3,272,31,2384,32,2285,47,1847,3,428,12,1333,3,375,28,2333,55,1202,3,375,0,0,20250202060257
8-9,3,333,31,2583,32,2285,47,1880,3,375,12,1500,3,375,28,2800,100,1402,12,776,0,0,20250202060257
9-10,3,333,31,2384,34,2428,52,1677,3,375,12,1200,3,214,28,3111,1081,3130,6,333,0,0,20250202060257
10-11,0,0,0,0,0,0,613,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250202060257
11-12,0,0,0,0,0,0,260,3022,0,0,0,0,0,0,0,0,4,444,0,0,0,0,20250202060257
12-13,0,0,0,0,0,0,47,1847,0,0,0,0,0,0,0,0,4,444,0,0,0,0,20250202060257
13-14,3,300,31,2583,32,2285,0,0,3,428,12,705,3,333,28,2800,104,840,12,616,0,0,20250202060257
14-15,9,221,87,2376,136,2568,225,2977,12,553,54,2071,12,453,112,2421,172,2100,12,509,0,0,20250202060257
15-16,0,0,0,0,0,0,36,2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250202060257
16-17,0,0,0,0,0,0,47,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250202060257
17-18,3,272,31,2583,32,1777,184,4582,3,428,12,1500,3,333,28,2800,43,1097,3,428,0,0,20250202060257
18-19,0,0,0,0,0,0,47,1916,0,0,0,0,0,0,0,0,4,444,0,0,0,0,20250202060257
19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1309,24,1437,0,0,20250202060257
20-21,0,0,0,0,0,0,47,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250202060257
21-22,3,300,31,2066,32,2461,16,1777,3,375,12,1714,3,333,28,2000,43,1076,3,375,0,0,20250202060257
22-23,0,0,0,0,0,0,47,1817,0,0,0,0,0,0,0,0,0,0,3,333,0,0,20250202060257
23-24,0,0,0,0,0,0,25,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250202060257
0-1,3,272,31,2583,76,2964,254,2519,3,428,12,923,3,333,70,3410,2341,5753,27,1520,0,0,20250203060032
1-2,3,272,31,2384,34,2000,25,2500,3,375,12,1333,3,333,28,2545,43,1666,3,428,0,0,20250203060032
2-3,9,311,87,2548,96,2400,47,2055,9,269,36,1308,9,327,84,2370,129,1675,9,491,0,0,20250203060032
3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,500,0,0,0,0,20250203060032
4-5,6,337,56,2439,64,2560,94,2506,6,273,24,1125,6,294,56,2555,90,1502,9,313,0,0,20250203060032
5-6,3,214,31,2583,34,1888,23220,14751,3,375,12,1500,3,333,28,1866,43,1641,9,1125,0,0,20250203060032
6-7,16,416,35,1513,0,0,104,3529,0,0,0,0,16,1333,42,2800,43,1378,290,2610,0,0,20250203060032
7-8,0,0,13,625,178,2499,94,2575,164,2980,437,4872,13,705,113,1934,525,7483,6,666,0,0,20250203060032
8-9,3,250,37,1044,106,3785,1012,4367,74,4625,222,4416,15,1500,56,2177,43,1471,3,428,0,0,20250203060032
9-10,4,170,38,1111,54,2842,469,3770,43,5375,187,7480,16,1230,42,3000,43,1583,21,879,0,0,20250203060032
10-11,0,0,0,0,91,2022,1626,4298,94,4947,127,1809,18,875,146,4027,3,63,0,0,0,0,20250203060032
11-12,0,0,0,0,54,1650,689,6109,43,2022,203,2793,9,416,42,1676,43,1525,9,900,0,0,20250203060032
12-13,0,0,0,0,0,0,31965,4814,0,0,9,547,0,0,0,0,0,0,0,0,0,0,20250203060032
13-14,6,354,82,1808,309,2340,0,0,264,4121,493,3644,38,1305,84,3115,89,1383,12,589,0,0,20250203060032
14-15,19,409,105,1222,676,2104,97,2633,508,2462,1366,3862,127,1047,848,2421,6995,4760,60,587,0,0,20250203060032
15-16,12,1090,41,1549,0,0,0,0,21,2333,36,878,3,333,0,0,477,3258,3,250,0,0,20250203060032
16-17,0,0,0,0,0,0,47,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250203060032
17-18,3,250,35,1445,54,3000,115,1768,43,4777,187,7480,15,1250,42,2625,43,1625,3,333,0,0,20250203060032
18-19,3,166,35,1491,556,2660,0,0,409,4082,557,4134,22,722,471,3886,43,1558,3,375,0,0,20250203060032
19-20,17,459,38,1100,107,1227,0,0,130,1657,282,2063,30,721,419,3428,2982,7066,24,737,0,0,20250203060032
20-21,0,0,0,0,0,0,94,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250203060032
21-22,3,250,35,1392,54,3176,22,2444,43,3307,187,6448,16,888,42,3000,43,1525,3,375,0,0,20250203060032
22-23,0,0,0,0,0,0,47,1916,0,0,0,0,0,0,0,0,0,0,3,250,0,0,20250203060032
23-24,0,0,0,0,0,0,25,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250203060032
0-1,3,300,48,1046,178,2677,241,4142,164,6833,443,4423,28,678,94,1681,1020,4798,6,312,0,0,20250204060608
1-2,8,479,48,884,152,2159,50,2525,91,2319,539,3482,69,1323,308,3635,2499,3022,12,339,0,0,20250204060608
2-3,9,336,104,1060,208,2751,47,2611,15,1500,33,3666,34,766,134,1930,132,1314,9,378,0,0,20250204060608
3-4,25,575,101,1087,425,2370,50,2281,498,3317,1479,4177,122,1537,576,3245,6249,4565,30,435,0,0,20250204060608
4-5,38,626,189,1446,591,2414,675,3474,518,3004,1468,4221,133,1123,737,3455,5201,4482,57,500,0,0,20250204060608
5-6,50,542,484,1656,2361,2808,25274,5392,2117,4681,4045,5679,357,2003,1944,4140,28371,5887,270,1226,0,0,20250204060608
6-7,272,1050,104,1204,1274,3240,1304,3356,1371,4220,1327,3322,148,1511,1470,3978,53881,7398,659,1764,0,0,20250204060608
7-8,314,1052,874,2052,5678,3399,1194,4362,5493,5916,9576,6765,983,2483,8480,6369,190369,9127,771,1751,0,0,20250204060608
8-9,623,2016,635,1985,3239,3109,5194,5970,2859,4469,4711,5251,694,2503,6773,7214,198716,8852,1279,2426,0,0,20250204060608
9-10,726,1631,748,1840,4624,3272,2759,4471,4186,5791,7079,6060,790,2370,5378,5191,149955,8502,678,1566,0,0,20250204060608
10-11,84,712,794,2138,6222,3152,10850,7392,6627,7289,7970,6988,546,1844,5157,5352,168806,7898,894,1832,0,0,20250204060608
11-12,638,1709,603,1584,7145,3011,13401,7690,7627,6882,10201,7371,718,2209,7890,5532,221306,9100,906,1731,0,0,20250204060608
12-13,269,1207,23759,2892,4215,3272,12196,7583,4322,5970,7396,7478,888,2242,6989,5915,182876,9273,1293,2349,0,0,20250204060608
13-14,933,2923,306,1555,4994,3320,7511,7505,5369,6168,6336,6748,557,1623,6592,6261,104598,8384,432,1552,0,0,20250204060608
14-15,636,1537,531,1880,4856,3423,3018,5009,4168,5696,6650,5968,635,1983,5464,5556,189560,9246,819,2070,0,0,20250204060608
15-16,570,1594,157,1049,3255,2883,2715,5947,3529,4632,3998,4763,421,1761,5530,5384,69416,7795,1096,2370,0,0,20250204060608
16-17,19915,3316,196,1409,2900,3107,4766,6359,3548,5710,3193,5101,312,1608,3463,4690,87756,7210,547,2144,0,0,20250204060608
17-18,1521,3576,272,1439,1879,2836,3651,5130,1981,4123,3369,5073,350,1563,2667,4352,62155,7333,294,1498,0,0,20250204060608
18-19,0,0,44,753,1191,3077,2130,5065,1965,4216,1768,4634,138,1245,1331,3909,51323,5951,240,1277,0,0,20250204060608
19-20,270,2326,31,890,810,2721,1866,4886,471,2645,1017,3374,112,1624,1306,5205,39672,6803,240,1635,0,0,20250204060608
20-21,810,2724,89,1129,980,3127,3962,5883,555,3871,751,2822,188,1538,1747,4697,155338,8188,648,1686,0,0,20250204060608
21-22,17497,6264,61,1225,550,2405,2745,5693,237,1982,541,2367,72,1044,459,3778,43176,6398,821,2196,0,0,20250204060608
22-23,232,4154,10,1000,167,4771,210,3843,7,411,39,1402,0,0,51,3923,7578,5371,373,2135,0,0,20250204060608
0-1,0,0,31,704,0,0,2096,6805,0,0,0,0,0,0,0,0,72,2739,0,0,0,0,20250205060229
1-2,6,222,52,1341,131,3969,0,0,113,10272,523,14135,44,1240,124,3115,68,1630,6,354,0,0,20250205060229
2-3,9,342,104,1712,232,2438,13,1444,194,5199,507,4245,35,922,134,2693,650,3427,12,345,0,0,20250205060229
3-4,6,275,70,2160,285,2112,115,4156,257,3144,400,4073,37,664,357,3235,109,1634,6,354,0,0,20250205060229
4-5,12,345,146,1774,1111,2552,470,3459,1413,5429,1922,5379,111,1143,1230,5343,3567,4944,105,780,0,0,20250205060229
5-6,543,1646,675,1853,4828,3659,28996,7396,4790,6128,6690,6623,554,1916,5106,6296,224843,8801,1526,2123,0,0,20250205060229
6-7,70137,1639,8027,2838,12506,3678,3579,7626,10526,7139,8240,5807,674,2664,5462,5235,61424,7470,860,2871,0,0,20250205060229
7-8,364,1315,1006,1956,6225,3176,3670,4716,6367,6680,11129,7195,991,2916,7170,6087,191544,9073,1351,2334,0,0,20250205060229
8-9,1384,3330,543,1774,4847,3594,7265,6571,3543,5634,5892,6271,517,2451,4214,5258,226077,9424,1506,2470,0,0,20250205060229
9-10,688,1606,763,2151,6982,3924,5458,6238,8269,7071,9584,7317,730,2343,5742,5814,83072,8528,792,2056,0,0,20250205060229
10-11,2436,3000,1056,2201,7967,3941,12032,7051,7180,7229,9735,7724,1020,2555,9523,6763,344057,9750,1515,2737,0,0,20250205060229
11-12,3099,3193,388,1485,6504,3769,16563,7015,7065,7296,7455,7499,621,2133,7650,6277,174715,8866,1119,2375,0,0,20250205060229
12-13,2299,3225,499,1713,4441,3729,5675,5466,4047,5633,5266,6174,532,2090,4227,5540,178069,9320,990,2360,0,0,20250205060229
13-14,229,1133,491,1670,4499,3389,4776,6602,4540,6437,5623,7147,478,1554,5284,5894,113237,7554,831,1892,0,0,20250205060229
14-15,77,849,216,1155,2052,3316,5002,5843,2737,5263,3791,6087,321,1077,2173,4566,63290,6516,369,1392,0,0,20250205060229
15-16,994,3896,248,1304,2408,3423,2926,4483,2354,4580,3074,5304,295,1493,2108,4828,69196,7556,489,1884,0,0,20250205060229
16-17,184283,6626,6038,2474,3584,3292,2963,4682,3404,5269,4964,6402,326,1863,3476,4859,114673,7822,1016,2376,0,0,20250205060229
17-18,6182,3924,281,1460,3686,3624,3008,5469,4153,5492,4095,6400,467,1825,4737,5788,175066,8584,760,2023,0,0,20250205060229
18-19,597,1397,304,1288,3352,3031,2675,5418,3897,5936,4314,5890,505,1938,3822,5490,153837,8504,651,1990,0,0,20250205060229
19-20,415,1346,236,1403,2986,3480,3642,6440,3354,5640,4098,6310,287,1485,2784,4303,155490,8424,780,1781,0,0,20250205060229
20-21,2423,4502,35,761,2286,3426,1775,4294,3008,5586,3230,4943,337,1324,3821,4901,63896,7502,222,1306,0,0,20250205060229
21-22,353,2525,89,1314,1314,2711,3304,5176,604,4108,1600,3547,102,1505,1692,4567,117177,6925,246,1580,0,0,20250205060229
22-23,3,333,47,1829,299,2588,1026,4743,1036,4875,6,600,22,1014,85,2324,23761,5074,51,1075,0,0,20250205060229
23-24,0,0,10,1111,0,0,0,0,6,857,558,4418,15,964,329,7000,1740,6813,6,364,0,0,20250205060229
2-3,94254,38,27880,43,128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250206060821
3-4,42,266,246,549,674,1400,4233,1945,474,1242,1788,2266,166,535,586,1623,15483,3493,501,863,0,0,20250206060821
4-5,14,371,107,1000,831,2219,591,2478,1048,2826,1260,3948,111,935,860,2770,3700,3161,33,653,0,0,20250206060821
5-6,76,509,338,1137,2898,2398,25939,5947,3238,4642,4119,4488,355,1367,3086,3769,99703,7444,558,1306,0,0,20250206060821
6-7,258,635,177,1582,1910,2167,4512,5186,1933,4801,2524,4112,279,1461,2133,4196,44739,6567,878,1649,0,0,20250206060821
7-8,601,1168,824,1356,8760,2983,3924,5095,10180,6525,12217,6215,1117,2307,9916,5401,175609,8520,1032,1653,0,0,20250206060821
8-9,1410,2165,473,1286,7324,3041,712081,6797,8275,6710,9453,6914,702,2171,6788,5231,318061,9676,861,1926,0,0,20250206060821
9-10,94,858,602,1819,6188,3201,6999328,14752,7917,6239,9172,7128,764,2054,7461,6123,86807,6788,492,1389,0,0,20250206060821
10-11,466,1161,995,1751,9546,3722,9227380,23428,9560,7555,12864,8807,1082,2278,9627,6971,197170,8518,930,1710,0,0,20250206060821
11-12,435,1075,1135,1749,8821,3521,5013032,23084,9666,7780,13367,8102,1189,2629,9698,6897,188072,9020,1076,1781,0,0,20250206060821
12-13,2029,2432,841,1864,9718,3877,16676,4479,10071,7187,11848,7651,836,2115,10401,6981,214120,9080,771,1771,0,0,20250206060821
13-14,655,1998,130,1607,2450,3215,6023,5129,1889,4115,2334,4945,156,896,2956,5696,87502,6593,135,960,0,0,20250206060821
14-15,182,1037,628,1956,5947,3605,2568,3699,6939,6631,9852,7359,1134,2691,7837,6563,135334,8979,915,1839,0,0,20250206060821
15-16,196,1135,502,1413,5463,3683,3131,5528,5464,6285,6614,7161,457,1645,5396,6169,173735,9014,534,1770,0,0,20250206060821
16-17,1170,2356,399,1253,3508,3277,6871,6860,3250,4867,4946,6935,769,2022,4695,6623,231152,9483,981,2424,0,0,20250206060821
17-18,1106,2328,362,1272,2756,2829,3614,5045,2899,4378,4255,5541,474,2131,3174,5153,150462,8841,1122,2323,0,0,20250206060821
18-19,326,1619,265,1086,1748,2909,3429,4844,1549,3955,2785,4923,321,1536,1758,4736,108760,8323,603,1613,0,0,20250206060821
19-20,274,1808,270,1331,1964,2783,2392,5225,2308,3968,3113,4585,356,1910,2492,5298,110636,8197,477,1438,0,0,20250206060821
20-21,242,2032,163,1006,2641,3013,783,3737,3032,4791,4033,4516,291,1452,2851,5201,44640,6824,135,764,0,0,20250206060821
21-22,694,2660,157,1432,1287,2925,2618,6339,851,4037,1297,3902,163,1557,1532,5026,102317,7240,323,1593,0,0,20250206060821
22-23,15,833,89,1715,263,2804,94,2115,351,3762,696,3924,109,1355,395,4125,21972,5394,126,770,0,0,20250206060821
23-24,13,722,31,1192,63,2286,0,0,52,3083,188,2520,6,666,22,3142,43,1641,360,4468,0,0,20250206060821
0-1,3,428,58,1037,274,2454,532,5891,244,2519,615,3656,53,916,235,2895,3179,5350,42,641,0,0,20250207060637
1-2,20,710,95,1445,311,2375,162,3644,221,1823,784,2122,113,1825,456,3794,19493,5233,192,1351,0,0,20250207060637
2-3,21,604,138,1276,474,2417,231,2823,378,3139,1121,5097,139,1923,627,3271,23779,7109,168,1239,0,0,20250207060637
3-4,225,1514,187,1495,820,3178,144,2059,593,4158,1568,3691,212,1876,1077,4761,40050,5774,141,897,0,0,20250207060637
4-5,931,3000,292,1825,1337,3138,1791,3344,777,3732,2166,4836,334,2326,1819,6048,74185,6894,648,1559,0,0,20250207060637
5-6,1979,3229,553,1853,5311,3728,27647,5183,4820,5446,6814,5866,659,2029,5612,5927,138632,7872,895,1973,0,0,20250207060637
6-7,739,2476,313,1546,2107,3672,4685,4843,1918,5402,2167,4505,359,2169,2122,4886,158062,7410,584,1593,0,0,20250207060637
7-8,2136,2557,1065,1961,8623,4074,2008,3760,10212,6781,13293,7908,1066,2417,8906,7336,232021,8925,1202,2004,0,0,20250207060637
8-9,459,1813,374,1570,3424,3028,1147,3598,3366,3764,5197,6433,547,1708,3868,5939,127301,8433,407,1327,0,0,20250207060637
9-10,170,1019,1025,1990,11879,4164,2144,4403,13697,7069,16037,8243,1163,3085,10799,6774,61622,6966,567,1401,0,0,20250207060637
10-11,319,1506,704,2198,9158,4068,9869,6813,9427,5461,12023,7926,1134,2807,10656,6605,299789,10358,1328,1944,0,0,20250207060637
11-12,917,1874,615,1717,11205,3985,5703,6377,11863,5696,13855,8482,912,2411,11800,6942,328653,9420,1110,1733,0,0,20250207060637
12-13,1181,2275,582,1705,6430,3874,17602,7726,6055,5087,8747,6445,1060,2651,9580,6300,359407,9781,1254,1928,0,0,20250207060637
13-14,1799,3521,410,1838,4827,3612,12386,7065,4729,5148,5440,6072,662,2303,6410,6679,291865,9216,1332,2123,0,0,20250207060637
14-15,534,1959,378,1404,3566,3202,10253,6659,4270,4580,4780,6702,405,1732,3519,5348,145412,8016,501,1342,0,0,20250207060637
15-16,477,3026,186,1287,1234,2423,115,2902,1020,3229,1942,4600,182,1479,1793,4742,53746,5988,480,1495,0,0,20250207060637
16-17,470,2231,258,1543,4913,3418,3688,4987,5097,6217,5847,6791,337,1638,4802,5733,103558,7598,777,1843,0,0,20250207060637
